DD,LS,IIM,FID,RWs,SC,UP,NCE,NCP,RW
"""Lily,""",,"<NCP>Well,</NCP>","It was a question, she remembered, how to connect this mass on the right hand with that on the left. She might do it by bringing the line of the branch across so; or break the vacancy in the foreground by an object (James perhaps) so. But the danger was that by doing that the unity of the whole might be broken.",,,,,"He is intolerably egotistical. Worst of all, he is a tyrant. But look!",
"""over there.""",,<NCP>such are the sacrifices one's friends ask of one.</NCP>,"His beauty was so great,",,,,,Look at him now.,
"""Sit there, please,""",,"<NCP>Yes,</NCP>","it was natural in a boy, and he trusted he would find better ways of amusing himself before long.",,,,,"on he went, tossing over page after page.",
"""Did you find your letters? I told them to put them in the hall for you,""",,<NCP>it is a terrible waste of time.</NCP>,"had he heard the children's nickname for Charles Tansley,",,,,,"About here,",
"""It's odd that one scarcely gets anything worth having by post, yet one always wants one's letters,""",,"<NCP>How trifling it all is, how boring it all is,</NCP>","The atheist, they called him, the little atheist.",,,,,"a ship had sunk,",
"""Do you write many letters, Mr. Tansley?""",,compared with the other thing-- work.,"She supposed <NCP>it was all right leaving him to his own devices,</NCP>",,,,,"how we perished, each alone.",
"""One never gets anything worth having by post""",,"Yet,","She knew all about <i>THAT,</i>",,,,,"So much depends then,",
"""No going to the Lighthouse tomorrow, Mrs. Ramsay,""",,she is one of my oldest friends. I am by way of being devoted to her.,"He'd disinherit her if she married him,",,,,,"so much depends, she thought, upon distance: whether people are near us or far from us;",
"""Oh, Mr. Tansley,""",,"What does one live for? Why, one asked oneself, does one take all these pains for the human race to go on? Is it so very desirable? Are we attractive as a species? <NCP>Not so very,</NCP>","There was no harm in him,",,,,,"They must be out of bed by this time,",
"""do take me to the Lighthouse with you. I should so love it.""",,Is human life this? Is human life that?,"These flowers seemed creditable, Mr. Ramsay said,",,,,,Get that and start afresh; get that and start afresh;,
"""Yes, take it away,""",,"They did talk nonsense,","The question was, what happened if she sent bulbs down; did Kennedy plant them? It was his incurable laziness;",,,,,"Let it come,",
"""It must have been fifteen-- no, twenty years ago--that I last saw her,""",,why should I help him to relieve himself?,"<NCP>Her Aunt Camilla was far worse than she was,</NCP>",,,,,"And if one can neither think nor feel,",
"""Yes. She says they're building a new billiard room,""",,"as indeed it is their duty,","Prue was going to be far more beautiful than she was,",,,,,where is one?,
"""Oh,""",,"to help us, suppose the Tube were to burst into flames.Then,","He should be very proud of Andrew if he got a scholarship,",,,,,"Here on the grass, on the ground,",
"""No,""",,"I should certainly expect Mr. Tansley to get me out. But how would it be,","She would be just as proud of him if he didn't,",,,,,"For the lawn was very rough. Here sitting on the world,",
"""People soon drift apart,""",,if neither of us did either of these things?,Wasn't it late?,,,,,"The lawn was the world; they were up here together, on this exalted station,",
"""I wish one of you would run up to Roger's room,""",,"""I am drowning, my dear, in seas of fire. Unless you apply some balm to the anguish of this hour and say something nice to that young man there, life will run upon the rocks--indeed I hear the grating and the growling at this minute. My nerves are taut as fiddle strings. Another touch and they will snap""",They hadn't come home yet.,,,,,"Also, she remembered, smiling at the slipper that dangled from his foot, he was growing famous.",
"""I'm so sorry,""",,"Ah,","What had he wanted to tell her,",,,,,"There was a famous man now called Carmichael,",
"""How you must detest dining in this bear garden,""",,"ah,","that he was sorry he had said ""Damn you."" But no. He did not like to see her look so sad,",,,,,She did not want Mrs. Ramsay now.,
"""No, not at all,""",,but what haven't I paid to get it for you?,"She had been reading fairy tales to James,",,,,,"How monotonous,",
"""You're not planning to go to the Lighthouse, are you, Lily,""",,"""Pray heaven that the inside of my mind may not be exposed,""","No, they could not share that; they could not say that.",,,,,and the same always!,
"""Remember poor Mr. Langley; he had been round the world dozens of times, but he told me he never suffered as he did when my husband took him there. Are you a good sailor, Mr. Tansley?""",,"""The others are feeling this. They are outraged and indignant with the government about the fishermen. Whereas, I feel nothing at all.""","He said aloud he thought he would be off for a day's walk if the weather held. He had had about enough of Bankes and of Carmichael. He would like a little solitude. <NCP>Yes,</NCP>",,,,,eyes that are closing in pain have looked on you. You have been with them there.,
"""Will you take me, Mr. Tansley?""",,"Probably he will be extremely disagreeable to us old fogies,","it was a perfectly lovely evening. And what was he groaning about, she asked, half laughing, half complaining, for she guessed what he was thinking--he would have written better books if he had not married.",,,,,"And what had happened to him,",
"""But how long do they leave men on a Lighthouse?""",,"You have wasted your lives. You are all of you wrong. Poor old fogies, you're hopelessly behind the times.","He was not complaining,",,,,,"One wanted fifty pairs of eyes to see with,",
"""The children are disgraceful,""",,"Probably,","Ah, but was that not Lily Briscoe strolling along with William Bankes?",,,,,"I will marry you,",
"""If at all,""",,there is a good deal in what he says.,"Yes, indeed it was. Did that not mean that they would marry? Yes, it must! What an admirable idea! They must marry!",,,,,"Minta, Paul, or William Bankes",
"""Tell me now...""",,"One word,","There was nothing more that could be done now. If the brooch was there, it would still be there in the morning,",,,,,"She had let the flowers fall from her basket,",
"""Ellen, please, another plate of soup,""",,What on earth was it about?,"And if Rose liked,",,,,,--that was how she would have painted it.,
"""Light the candles,""",,What could be the matter? Only that poor old Augustus had asked for another plate of soup--that was all.,she might choose which jewels she was to wear.,,,,,"For Heaven's sake,",
"""Poor old Augustus--he's a true poet,""",,And why not?,"Which did indeed,",,,,,let them sit still there and not come floundering out to talk to her.,
"""I lost my brooch--my grandmother's brooch,""",,"But why show it so plainly, Mrs. Ramsay","Look at that,",,,,,"It's a miracle, it's an ecstasy.",
"""Come along, Mr. Ramsay; it's our turn to beat them now,""",,Why could he never conceal his feelings?,"<NCP>Choose me a shawl,</NCP>",,,,,"so full her mind was of what she was thinking, of what she was seeing,",
"""Put it down there,""",,"What had she done with it,",But how did she know that those were Mary and Joseph? Did she think the same birds came to the same trees every night?,,,,,"So it was like that,",
"""We went back to look for Minta's brooch,""",,This will celebrate the occasion,Had Carrie written to him herself?,,,,,"It was thus that he escaped,",
"""It is a triumph,""",,"for what could be more serious than the love of man for woman, what more commanding, more impressive, bearing in its bosom the seeds of death; at the same time these lovers, these people entering into illusion glittering eyed, must be danced round with mockery, decorated with garlands.",Should he give her love to Carrie?,,,,,"He was hungry,",
"""It is a French recipe of my grandmother's,""",,"How childlike, how absurd she was, sitting up there with all her beauty opened again in her, talking about the skins of vegetables.","<RW> They were awfully late; they were horribly late, </RW>",,,,,"Besides, look,",
"""In which,""",,"Always she got her own way in the end,","How could she be such a goose,",,,,,"He would have liked to live in a cottage and lounge about in the harbour spitting with the other old men,",
"""all the virtue of the vegetable is contained.""",,"Throw yourself over the cliff if you like, I don't care.",as to scramble about the rocks in jewels?,,,,,"This is right, this is it,",
"""When did Minta lose her brooch?""",,"Yet,",How did she manage these things in the depths of the country?,,,,,"Now I can go on thinking whatever I like, and I shan't fall over a precipice or be drowned, for there he is, keeping his eye on me,",
"""On the beach,""",,"from the dawn of time odes have been sung to love; wreaths heaped and roses; and if you asked nine people out of ten they would say they wanted nothing but this--love; while the women, judging from her own experience, would all the time be feeling, This is not what we want; there is nothing more tedious, puerile, and inhumane than this; yet it is also beautiful and necessary. Well then, well then?","<NCP>And the waste,</NCP>",,,,,Would the water last? Would the provisions last?,
"""I'm going to find it,""",,"Oh, but nonsense,",<NCP>A whole French family could live on what an English cook throws away.</NCP>,,,,,"They would soon be out of it,",
"""I'm getting up early.""",,William must marry Lily. They have so many things in common. Lily is so fond of flowers. They are both cold and aloof and rather self-sufficing.,"<NCP>Russian names were impossible,</NCP>",,,,,but their children would see some strange things.,
"""Let me come with you,""",,"Of such moments,","No,",,,,,And that's the way I'd like my children to live--,
"""Then,""",,the thing is made that endures.,"Then Cam must go to sleep (<DD><NCP>it had great horns</NCP></DD> said Cam)--must go to sleep and dream of lovely palaces,",,,,,"as if he were thinking of the fishermen and how they lived,",
"""there is that liquid the English call coffee.""",,<NCP>Am I saying the right thing? Am I making a good impression?</NCP>,"She could see the horns,",,,,,"""Ah""",
"""Oh, coffee!""",,"<NCP>As usual,</NCP>","<NCP>Now,</NCP>",,,,,"But why make a fuss about that? Naturally men are drowned in a storm, but it is a perfectly straightforward affair, and the depths of the sea (he sprinkled the crumbs from his sandwich paper over them) are only water after all.",
"""Lily anyhow agrees with me,""",,"""Yes, it is time for that now,""","<NCP> James must go to sleep too, for see,</NCP>",,,,,"""Well done!"" James had steered them like a born sailor.",
"""Yes,""",,"<NCP> Where,</NCP> Lily wondered, <NCP>was she going so quickly?</NCP>",<NCP> the boar's skull was still there; they had not touched it; they had done just what he wanted; it was there quite unhurt.</NCP>,,,,,There!,
"""there is plenty for everybody.""",,"<NCP>Is it good, is it bad, is it right or wrong? Where are we all going to?</NCP>",Would they go to the Lighthouse tomorrow?,,,,,You've got it at last.,
"""Andrew,""",,"Yes, that was done then, accomplished; and as with all things done, became solemn. Now one thought of it, cleared of chatter and emotion, it seemed always to have been, only was shown now and so being shown, struck everything into stability. They would,","<NCP>No, not tomorrow,</NCP>",,,,,"But you've got it now,",
"""hold your plate lower, or I shall spill it.""",,"going on again, however long they lived, come back to this night; this moon; this wind; this house: and to her too.","<NCP> but soon,</NCP>",,,,,What could he see?,
"""Ah, but how long do you think it'll last?""",,"<NCP> however long they lived she would be woven; and this, and this, and this,</NCP>",the next fine day.,,,,,It was all a blur to her.,
"""Let us enjoy what we do enjoy,""",,"All that would be revived again in the lives of Paul and Minta; ""the Rayleys""","Of course they must go; of course they must go,",,,,,What was he thinking now?,
"""Vronsky,""",,Mildred should be more careful.,"would they be very late, and had any of them got a watch?",,,,,"What was it he sought, so fixedly, so intently, so silently?",
"""Vronsky,""",,"What was the matter? It was that horrid skull again. She had told Mildred to move it, but Mildred, of course, had forgotten, and now there was Cam wide awake, and James wide awake quarreling when they ought to have been asleep hours ago. What had possessed Edward to send them this horrid skull? She had been so foolish as to let them nail it up there. <NCP>It was nailed fast,</NCP> Mildred said, <NCP>and Cam couldn't go to sleep with it in the room, and James screamed if she touched it.</NCP>",<NCP><RW>here</RW> you can neither touch nor destroy.</NCP>,,,,,What do you want?,
"""O, Anna Karenina,""",,"""That's my mother,""","She had died very sudden at the end,",,,,,Ask us anything and we will give it you.,
"""But think, Cam, it's only an old pig,""",,"Yes; Minta should look at her; Paul Rayley should look at her.That is the thing itself, she felt, as if there were only one person like that in the world; her mother.","It was beyond the strength of one woman,",,,,,"We perished, each alone,",
"""a nice black pig like the pigs at the farm.""",,"""She knows all about it. I need not say anything.""","They never sent. They never wrote. There were things up there rotting in the drawers--it was a shame to leave them so,",,,,,I have reached it.,
"""Well then,""",,"""I've done it, Mrs. Ramsay. I owe it all to you.""","<NCP>Oh, they said, the work!</NCP>",,,,,"as if he were saying, ""There is no God,"" and Cam thought,",
"""we will cover it up,""",,<NCP> How extraordinarily lucky Minta is! She is marrying a man who has a gold watch in a wash- leather bag!</NCP>,"<NCP>It might well be,</NCP>",,,,,"Now he has crowned the occasion,",
"""Yes, Paul has,""",,"Of course,","Ah,",,,,,"It would be hung in the attics,",
"""How I wish I could come with you!""",,she had to come here to get something she wanted.,they'd find it changed.,,,,,it would be destroyed. But what did that matter?,
"""Well?""",,"""That's what they'll say of me;""",What does one send to the Lighthouse indeed!,,,,,"Yes,",
"""They're engaged,""",,"""That's true""","<NCP>What does one send? What does one do? Why is one sitting here, after all?</NCP>",,,,,I have had my vision.,
"""Paul and Minta.""",,"will they be read, are they good, why aren't they better, what do people think of me?",Did they not want to go?,,,,,,
"""So I guessed,""",,"<NCP>It didn't matter, any of it,</NCP>","Yes, oh, yes, they'd both be ready,",,,,,,
"""How nice it would be to marry a man with a wash-leather bag for his watch,""",,"A great man, a great book, fame--who could tell?",Was anybody looking after her?,,,,,,
"""You won't finish that stocking tonight,""",,<NCP> If only he would speak!</NCP>,Had she everything she wanted?,,,,,,
"""No,""",,"There is something I want--something I have come to get,","<NCP>Ah, yes,</NCP>",,,,,,
"""I shan't finish it.""",,"""the China rose is all abloom and buzzing with the honey bee,""","<NCP>they were first-rate boots.There was only one man in England who could make boots like that. Boots are among the chief curses of mankind,</NCP>",,,,,,
"""Yes, you were right. It's going to be wet tomorrow. You won't be able to go.""",,"<NCP>Don't interrupt me,</NCP>",But which was it?,,,,,,
"""Well, we must wait for the future to show,""",,<NCP> don't say anything; just sit there.</NCP>,Didn't she know the points of the compass?,,,,,,
"""It's almost too dark to see,""",,"<NCP>Well, let them improve upon that,</NCP>",Didn't she know the North from the South? Did she really think they lived right out there?,,,,,,
"""One can hardly tell which is the sea and which is the land,""",,"That's fiddlesticks, that's first-rate,",<NCP>Who was looking after the puppy today?</NCP>,,,,,,
"""Do we leave that light burning?""",,"Go on reading. You don't look sad now,",<NCP>And what was she going to call him?</NCP>,,,,,,
"""No,""",,"What had happened,","<NCP>Do this,</NCP>",,,,,,
"""not if every one's in.""",,since she had seen him alone?,<NCP>Did she not admire their beauty?</NCP>,,,,,,
"""Andrew,""",,Which should she tell him about?,"""What does it mean? How do you explain it all?""",,,,,,
"""just put out the light in the hall.""",,"<NCP>Anything, anything,</NCP>",,,,,,,
"""What's the use of going now?""",,<NCP>Anything will do.</NCP>,,,,,,,
"""What does one send to the Lighthouse?""",,"why is it then that one wants people to marry? What was the value, the meaning of things? (Every word they said now would be true.)Do say something,",,,,,,,
"""Alone""",,"Say anything,",,,,,,,
"""Perished""",,"<NCP>If he says it's wrong to be pessimistic probably it is wrong,</NCP>",,,,,,,
"""You find us much changed.""",,<NCP> the marriage will turn out all right. </NCP>,,,,,,,
"""Oh, thanks, everything,""",,Was there no crumb on his coat? Nothing she could do for him?,,,,,,,
"""Such expeditions,""",,You are more beautiful than ever.,,,,,,,
"""are very painful.""",,Will you not tell me just for once that you love me?,,,,,,,
"""They are very exhausting,""",,<NCP>Nothing on earth can equal this happiness</NCP>,,,,,,,
"""What beautiful boots!""",,"would it hang much longer, when would it fall?",,,,,,,
"""Bootmakers make it their business,""",,Were they allies? Were they enemies? How long would they endure?,,,,,,,
"""to cripple and torture the human foot.""",,"""What am I,"" ""What is this?""",,,,,,,
"""Walk up, walk up,""",,It was a pity to let them waste. Suppose the house were sold,,,,,,,
"""She comes driving round the point,""",,"it would want seeing to--it would. There it had stood all these years without a soul in it. The books and things were mouldy, for, what with the war and help being hard to get, the house had not been cleaned as she could have wished. It was beyond one person's strength to get it straight now. She was too old. Her legs pained her. All those books needed to be laid out on the grass in the sun; there was plaster fallen in the hall; the rain-pipe had blocked over the study window and let the water in; the carpet was ruined quite. But people should come themselves; they should have sent somebody down to see. For there were clothes in the cupboards; they had left clothes in all the bedrooms. What was she to do with them? They had the moth in them--Mrs. Ramsay's things. Poor lady! She would never want <NCP><IT>THEM</IT>again.</NCP><FID>She was dead, </FID>they said;<FID>years ago, in London.</FID>There was the old grey cloak she wore gardening",,,,,,,
"""one there, one there, one there""",,"She could see her, as she came up the drive with the washing, stooping over her flowers",,,,,,,
"""And at last we shoved her off,""",,"she could see her with one of the children by her in that grey cloak. There were boots and shoes; and a brush and comb left on the dressing-table, for all the world as if she expected to come back tomorrow.",,,,,,,
"""See the little house,""",,"And once they had been coming, but had put off coming, what with the war, and travel being so difficult these days; they had never come all these years; just sent her money; but never wrote, never came, and expected to find things as they had left them, ah, dear! Why the dressing-table drawers were full of things",,,,,,,
"""But I beneath a rougher sea<NCP>,</NCP>""",,"handkerchiefs, bits of ribbon. Yes, she could see Mrs. Ramsay as she came up the drive with the washing.",,,,,,,
"But I beneath a rougher sea Was whelmed in deeper gulfs than he,",,"""Good-evening, Mrs. McNab,"" she would say.",,,,,,,
"""Look! Look!""",,"She had a pleasant way with her. The girls all liked her. But, dear, many things had changed since then",,,,,,,
"""Tell me--which is East, which is West?""",,"many families had lost their dearest. So she was dead; and Mr. Andrew killed; and Miss Prue dead too, they said, with her first baby; but everyone had lost some one these years. Prices had gone up shamefully, and didn't come down again neither. She could well remember her in her grey cloak.",,,,,,,
"""Jasper,""",,"""Good-evening, Mrs. McNab,"" she said, and told cook to keep a plate of milk soup for her--quite thought she wanted it, carrying that heavy basket all the way up from town. She could see her now, stooping over her <NCP>flowers; and faint and flickering, like a yellow beam or the circle at the end of a telescope, a lady in a grey cloak, stooping over her flowers, went wandering over the bedroom wall, up the dressing-table, across the wash-stand,</NCP>",,,,,,,
"""Is it a boat? Is it a cork?""",,"And cook's name now? Mildred? Marian?--some name like that. <NCP>Ah, she had forgotten--she did forget things.</NCP> Fiery, like all red-haired women. Many a laugh they had had. She was always welcome in the kitchen. She made them laugh, she did. Things were better then than now.",,,,,,,
"""Is it a boat? Is it a cask?""",,"This had been the nursery. Why, it was all damp in here; the plaster was falling. Whatever did they want to hang a beast's skull there? gone mouldy too. And rats in all the attics. The rain came in. But they never sent; never came. Some of the locks had gone, so the doors banged. She didn't like to be up here at dusk alone neither. It was <RW>too much</RW> for one woman,<RW>too much, too much. </RW>",,,,,,,
"""played chess in coffee-houses.""",,He never noticed her. Some said he was dead; some said she was dead. Which was it? Mrs. Bast didn't know for certain either. The young gentleman was dead. That she was sure. She had read his name in the papers.,,,,,,,
"""Mrs. Rayley's out, sir,""",,"There was the cook now, Mildred, Marian, some such name as that--a red- headed woman, quick-tempered like all her sort, but kind, too, if you knew the way with her. Many a laugh they had had together. She saved a plate of soup for Maggie; a bite of ham, sometimes; whatever was over. They lived well in those days. They had everything they wanted (glibly, jovially, with the tea hot in her, she unwound her ball of memories, sitting in the wicker arm-chair by the nursery fender). There was always plenty doing, people in the house, twenty staying sometimes, and washing up till long past midnight.",,,,,,,
"""Mrs. Ramsay!""",,whatever they hung that beast's skull there for? Shot in foreign parts no doubt.,,,,,,,
"""Mrs. Ramsay!""",,"they had friends in eastern countries; gentlemen staying there, ladies in evening dress; she had seen them once through the dining-room door all sitting at dinner. Twenty she dared say all in their jewellery, and she asked to stay help wash up, might be till after midnight.",,,,,,,
"""Mrs. Ramsay!""",,"They might well ask, what had been done to it? seeing how old Kennedy was supposed to have charge of it, and then his leg got so bad after he fell from the cart; and perhaps then no one for a year, or the better part of one; and then Davie Macdonald, and seeds might be sent, but who should say if they were ever planted? They'd find it changed.",,,,,,,
"""Mrs. Ramsay!""",,"He was a great one for work--one of those quiet ones. Well they must be getting along with the cupboards,",,,,,,,
"""There's the Lighthouse. We're almost there.""",,"<NCP>Here she was again,</NCP>",,,,,,,
,,"What does it mean then, what can it all mean?",,,,,,,
,,"What does it mean?--a catchword that was, caught up from some book, fitting her thought loosely, for she could not, this first morning with the Ramsays, contract her feelings, could only make a phrase resound to cover the blankness of her mind until these vapours had shrunk. For really, what did she feel, come back after all these years and Mrs. Ramsay dead? Nothing, nothing--nothing that she could express at all.",,,,,,,
,,"She had come late last night when it was all mysterious, dark. Now she was awake, at her old place at the breakfast table, but alone. It was very early too, not yet eight. There was this expedition--they were going to the Lighthouse, Mr. Ramsay, Cam, and James. They should have gone already--they had to catch the tide or something. And Cam was not ready and James was not ready and Nancy had forgotten to order the sandwiches and Mr. Ramsay had lost his temper and banged out of the room.",,,,,,,
,,"she felt cut off from other people, and able only to go on watching, asking, wondering. The house, the place, the morning, all seemed strangers to her. She had no attachment here, she felt, no relations with it, anything might happen, and whatever did happen, a step outside, a voice calling <NCP>(""It's not in the cupboard; it's on the landing,"" some one cried)</NCP>, was a question, as if the link that usually bound things together had been cut, and they floated up here, down there, off, anyhow. How aimless it was, how chaotic, how unreal it was, she thought, looking at her empty coffee cup. Mrs. Ramsay dead; Andrew killed; Prue dead too--repeat it as she might, it roused no feeling in her. <NCP>And we all get together in a house like this on a morning like this,</NCP> she said, looking out of the window. It was a beautiful still day.",,,,,,,
,,"If only she could put them together, she felt, write them out in some sentence, then she would have got at the truth of things.",,,,,,,
,,"The extraordinary unreality was frightening; but it was also exciting. Going to the Lighthouse. But what does one send to the Lighthouse? Perished. Alone. The grey-green light on the wall opposite. The empty places. <NCP>Such were some of the parts, but how bring them together?</NCP>",,,,,,,
,,"She must escape somewhere, be alone somewhere. Suddenly she remembered. When she had sat there last ten years ago there had been a little sprig or leaf pattern on the table-cloth, which she had looked at in a moment of revelation. There had been a problem about a foreground of a picture. Move the tree to the middle, she had said. She had never finished that picture. She would paint that picture now. It had been knocking about in her mind all these years. Where were her paints, she wondered? Her paints, yes. She had left them in the hall last night. She would start at once.",,,,,,,
,,"Yes, it must have been precisely here that she had stood ten years ago. There was the wall; the hedge; the tree. The question was of some relation between those masses. She had borne it in her mind all these years. It seemed as if the solution had come to her: she knew now what she wanted to do.",,,,,,,
,,"Dumb and staring though they had all sat, the six children whom they used to call after the Kings and Queens of England--the Red, the Fair, the Wicked, the Ruthless--she felt how they raged under it. Kind old Mrs. Beckwith said something sensible. But it was a house full of unrelated passions--she had felt that all the evening. And on top of this chaos Mr. Ramsay got up, pressed her hand, and said:<DD>""You will find us much changed""</DD>",,,,,,,
,,"And it struck her, this was tragedy--not palls, dust, and the shroud; but children coerced, their spirits subdued. James was sixteen, Cam, seventeen, perhaps. She had looked round for some one who was not there, for Mrs. Ramsay, presumably. But there was only kind Mrs. Beckwith turning over her sketches under the lamp. Then, being tired, her mind still rising and falling with the sea, the taste and smell that places have after long absence possessing her, the candles wavering in her eyes, she had lost herself and gone under. It was a wonderful night, starlit; the waves sounded as they went upstairs; the moon surprised them, enormous, pale, as they passed the staircase window.",,,,,,,
,,"She could not see the colour; she could not see the lines; even with his back turned to her, she could only think, <NCP>But he'll be down on me in a moment, demanding--</NCP>something she felt she could not give him. She rejected one brush; she chose another. When would those children come? When would they all be off? she fidgeted. That man, she thought, her anger rising in her, never gave; that man took. She, on the other hand, would be forced to give. Mrs. Ramsay had given. Giving, giving, giving, she had died--and had left all this. Really, she was angry with Mrs. Ramsay. With the brush slightly trembling in her fingers she looked at the hedge, the step, the wall. It was all Mrs. Ramsay's doing. She was dead. Here was Lily, at forty-four, wasting her time, unable to do a thing, standing there, playing at painting, playing at the one thing one did not play at, and it was all Mrs. Ramsay's fault. She was dead. The step where she used to sit was empty. She was dead.",,,,,,,
,,"But why repeat this over and over again? Why be always trying to bring up some feeling she had not got? There was a kind of blasphemy in it. It was all dry: all withered: all spent. They ought not to have asked her; she ought not to have come. One can't waste one's time at forty- four,",,,,,,,
,,"She hated playing at painting. A brush, the one dependable thing in a world of strife, ruin, chaos--that one should not play with, knowingly even: she detested it. But he made her. <NCP>You shan't touch your canvas,</NCP> he seemed to say, bearing down on her, till you've given me what I want of you. Here he was, close upon her again, greedy, distraught. <NCP>Well,</NCP> thought Lily in despair, letting her right hand fall at her side, it would be simpler then to have it over. Surely, she could imitate from recollection the glow, the rhapsody, the self-surrender, she had seen on so many women's faces (on Mrs. Ramsay's, for instance) when on some occasion like this they blazed up--she could remember the look on Mrs. Ramsay's face--into a rapture of sympathy, of delight in the reward they had, which, though the reason of it escaped her, evidently conferred on them the most supreme bliss of which human nature was capable. Here he was, stopped by her side. She would give him what she could.",,,,,,,
,,"She seemed to have shrivelled slightly,",,,,,,,
,,"She looked a little skimpy, wispy; but not unattractive. He liked her. There had been some talk of her marrying William Bankes once, but nothing had come of it. His wife had been fond of her. He had been a little out of temper too at breakfast. And then, and then--this was one of those moments when an enormous need urged him, without being conscious what it was, to approach any woman, to force them, he did not care how, his need was so great, to give him what he wanted: sympathy",,,,,,,
,,"No; she could not do it. She ought to have floated off instantly upon some wave of sympathetic expansion: the pressure on her was tremendous. But she remained stuck. There was an awful pause. They both looked at the sea. <NCP>Why,</NCP> thought Mr. Ramsay, <NCP>should she look at the sea when I am here?</NCP> She hoped it would be calm enough for them to land at the Lighthouse, she said. <NCP>The Lighthouse! The Lighthouse! What's that got to do with it? </NCP>he thought impatiently. Instantly, with the force of some primeval gust (for really he could not restrain himself any longer), there issued from him such a groan that any other woman in the whole world would have done something, said something<NCP>--all except myself,</NCP> thought Lily, girding at herself bitterly, <NCP>who am not a woman, but a peevish, ill-tempered, dried-up old maid, presumably.</NCP>",,,,,,,
,,Was she not going to say anything? Did she not see what he wanted from her?,,,,,,,
,,"All Lily wished was that this enormous flood of grief, this insatiable hunger for sympathy, this demand that she should surrender herself up to him entirely, and even so he had sorrows enough to keep her supplied for ever, should leave her, should be diverted",,,,,,,
,,before it swept her down in its flow.,,,,,,,
,,"She is a stock, she is a stone, he said to himself.",,,,,,,
,,"<NCP>he was acting,</NCP> she felt, <NCP>this great man was dramatising himself), at his beautiful hands.</NCP> It was horrible, it was indecent. Would they never come, she asked, for she could not sustain this enormous weight of sorrow, support these heavy draperies of grief",,,,,,,
,,a moment longer.,,,,,,,
,,"could only feel, amazedly, as Mr. Ramsay stood there, how his gaze seemed to fall dolefully over the sunny grass and discolour it, and cast over the rubicund, drowsy, entirely contented figure of Mr. Carmichael, reading a French novel on a deck-chair, a veil of crape, as if such an existence, flaunting its prosperity in a world of woe, were enough to provoke the most dismal thoughts of all. <NCP>Look at him,</NCP> he seemed to be saying, <NCP>look at me;</NCP> and indeed, all the time he was feeling, <NCP>Think of me, think of me. Ah, could that bulk only be wafted alongside of them,</NCP> Lily wished; <NCP>had she only pitched her easel a yard or two closer to him;</NCP> a man, any man, would staunch this effusion, would stop these lamentations.<RW>A woman,</RW>she had provoked this horror; <RW>a woman,</RW>she should have known how to deal with it. It was immensely to her discredit, sexually, to stand there dumb. One said--what did one say?<NCP>--Oh, Mr. Ramsay! Dear Mr. Ramsay!</NCP> That was what that kind old lady who sketched, Mrs. Beckwith, would have said instantly, and rightly. But, no. They stood there, isolated from the rest of the world. His immense self-pity, his demand for sympathy poured and spread itself in pools at ther feet, and all she did, miserable sinner that she was, was to draw her skirts a little closer round her ankles, lest she should get wet. In complete silence she stood there, grasping her paint brush.",,,,,,,
,,"<NCP>Remarkable boots they were too,</NCP>",,,,,,,
,,"sculptured; colossal; like everything that Mr. Ramsay wore, from his frayed tie to his half-buttoned waistcoat, his own indisputably. She could see them walking to his room of their own accord, expressive in his absence of pathos, surliness, ill-temper, charm.",,,,,,,
,,"She was ashamed of herself. To praise his boots when he asked her to solace his soul; when he had shown her his bleeding hands, his lacerated heart, and asked her to pity them, then to say, cheerfully,<DD>""Ah, but what beautiful boots you wear!""</DD>deserved, she knew, and she looked up expecting to get it in one of his sudden roars of ill-temper complete annihilation.",,,,,,,
,,"They had reached,",,,,,,,
,,"a sunny island where peace dwelt, sanity reigned and the sun for ever shone, the blessed island of good boots. Her heart warmed to him.<DD>""Now let me see if you can tie a knot,""</DD> he said. He poohpoohed her feeble system. He showed her his own invention. <NCP>Once you tied it, it never came undone.</NCP>",,,,,,,
,,"Why, at this completely inappropriate moment, when he was stooping over her shoe, should she be so tormented with sympathy for him that, as she stooped too, the blood rushed to her face, and, thinking of her callousness (she had called him a play-actor) she felt her eyes swell and tingle with tears? Thus occupied he seemed to her a figure of infinite pathos. He tied knots. He bought boots. There was no helping Mr. Ramsay on the journey he was going.",,,,,,,
,,"But why was it like<NCP><IT>THAT</IT> that they came?</NCP> She could not help feeling annoyed with them; they might have come more cheerfully; they might have given him what, now that they were off, she would not have the chance of giving him. For she felt a sudden emptiness; a frustration. Her feeling had come too late; there it was ready; but he no longer needed it. He had become a very distinguished, elderly man, who had no need of her whatsoever. She felt snubbed.",,,,,,,
,,"They looked,",,,,,,,
,,"as if fate had devoted them to some stern enterprise, and they went to it, still young enough to be drawn acquiescent in their father's wake, obediently, but with a pallor in their eyes which made her feel that they suffered something beyond their years in silence. So they passed the edge of the lawn, and it seemed to Lily that she watched a procession go, drawn on by some stress of common feeling which made it, faltering and flagging as it was, a little company bound together and strangely impressive to her.",,,,,,,
,,"<NCP>But what a face,</NCP>",,,,,,,
,,"immediately finding the sympathy which she had not been asked to give troubling her for expression. What had made it like that? <NCP>Thinking, night after night,</NCP>",,,,,,,
